trait_type	phenocode	pheno_sex	description	description_more	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	pops	num_pops	num_pops_pass_qc	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	filename_tabix	aws_link	aws_link_tabix	wget	wget_tabix	md5_hex	size_in_bytes	md5_hex_tabix	size_in_bytes_tabix	trait_efos	trait_efo_terms	trait_efo_categories
continuous	103220	both_sexes	Shellfish intake	"Question asked: ""How many servings of shellfish (e.g. mussels, scallops) did you have?"" This question was only asked to participants who reported consuming fish or seafood."	543	369	174	NA	NA	NA	EAS	1	0	NA	NA	NA	384	NA	NA	NA	NA	NA	NA	NA	NA	continuous-103220-both_sexes.tsv.bgz	continuous-103220-both_sexes.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-103220-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-103220-both_sexes.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-103220-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-103220-both_sexes.tsv.bgz.tbi	039180754c43b97ec2ecf49a6f5a6876	271456243	271a673a9a2a1516942154483c58ca53	1688492	NA	NA	NA
phecode	282.5	both_sexes	Sickle cell anemia	NA	322	227	95	NA	NA	NA	AFR	1	0	322	NA	NA	NA	NA	NA	5728	NA	NA	NA	NA	NA	phecode-282.5-both_sexes.tsv.bgz	phecode-282.5-both_sexes.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-282.5-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-282.5-both_sexes.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-282.5-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-282.5-both_sexes.tsv.bgz.tbi	a3511d13b0232f4b31f23440eae2b704	510734714	50ad894c3057dec4472bbc3f1f1fc5f3	1746485	NA	NA	NA
categorical	20096	both_sexes	Size of red wine glass drunk	This field indicates the size(s) of red wine glass the participant consumed yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they consumed red wine.	5852	2559	3293	NA	NA	NA	"CSA,EUR"	2	0	NA	NA	50	NA	5802	NA	NA	NA	1419	NA	53088	NA	categorical-20096-both_sexes-2.tsv.bgz	categorical-20096-both_sexes-2.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20096-both_sexes-2.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20096-both_sexes-2.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20096-both_sexes-2.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20096-both_sexes-2.tsv.bgz.tbi	35a774958d4a59d17059c6c17a88b10e	1098223190	c3c06ba3c2074199c8c6e3c45fa9aad3	1927943	EFO_0007878	alcohol consumption measurement	Other measurement
phecode	696.4	both_sexes	Psoriasis	NA	2981	1385	1596	NA	NA	NA	"CSA,EUR"	2	0	NA	NA	77	NA	2904	NA	NA	NA	8490	NA	406978	NA	phecode-696.4-both_sexes.tsv.bgz	phecode-696.4-both_sexes.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-696.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-696.4-both_sexes.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-696.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-696.4-both_sexes.tsv.bgz.tbi	eab18d7e1a9cf28b62930af943ed0b72	1098451977	a1a0c74456d42a1b9cfb32c3394577b8	1927389	EFO_0000676	psoriasis	Immune system disorder
continuous	50	both_sexes	Standing height	Standing height was measured using a Seca 202 device	438478	237363	201115	434809	234953	199856	"AFR,AMR,CSA,EAS,EUR"	5	3	6556	972	8657	2697	419596	NA	NA	NA	NA	NA	NA	NA	continuous-50-both_sexes-irnt.tsv.bgz	continuous-50-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-50-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-50-both_sexes-irnt.tsv.bgz.tbi	d883d1ec0840c3fec63457648ef0cb2f	2048283490	f1fb994a3f41a8077883088a673216fc	2194105	EFO_0004339	body height	Body measurement
continuous	30130	both_sexes	Monocyte count	"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count."	427154	230434	196718	415767	223763	192004	"AFR,AMR,CSA,EAS,EUR,MID"	6	2	6262	949	8502	2630	407265	1546	NA	NA	NA	NA	NA	NA	continuous-30130-both_sexes-irnt.tsv.bgz	continuous-30130-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30130-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-30130-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30130-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-30130-both_sexes-irnt.tsv.bgz.tbi	2a70eee142c6e2cc179d2ce506c362f4	2289250263	543859d675874214de49416e952165cd	2236175	EFO_0005091	monocyte count	Hematological measurement
phecode	250.2	both_sexes	Type 2 diabetes	NA	25550	9963	15586	24432	9358	15074	"AFR,CSA,EAS,EUR,MID"	5	2	796	NA	1664	152	22768	170	5793	NA	7181	2555	396181	1424	phecode-250.2-both_sexes.tsv.bgz	phecode-250.2-both_sexes.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi	6676c88da92db321fc9ee838d49b2ab8	2467191474	381aad639539b47a37883cc5bd9b8820	2269806	MONDO_0005148	type 2 diabetes mellitus	Digestive system disorder
phecode	250	both_sexes	Diabetes mellitus	NA	27215	10771	16443	26043	10141	15902	"AFR,CSA,EAS,EUR,MID"	5	2	843	NA	1695	154	24348	175	5793	NA	7181	2555	396181	1424	phecode-250-both_sexes.tsv.bgz	phecode-250-both_sexes.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi	f78075d8eeadb6c681c899fa3b14d4ac	2473211394	2e6a959bb60464d7dcda028cb6d0b69e	2270449	EFO_0000400	diabetes mellitus	Digestive system disorder
categorical	1210	both_sexes	Snoring	"ACE touchscreen question ""Does your partner or a close relative or friend complain about your snoring?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know."	256618	156791	99815	249902	152519	97372	"AFR,AMR,CSA,EAS,EUR,MID"	6	2	3790	561	4634	1511	245268	854	2046	315	3270	837	146263	536	categorical-1210-both_sexes-1210.tsv.bgz	categorical-1210-both_sexes-1210.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1210-both_sexes-1210.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1210-both_sexes-1210.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1210-both_sexes-1210.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1210-both_sexes-1210.tsv.bgz.tbi	1f38bc0da099ba48da5d9092f3784c02	2734245145	b788b1ba7c61b3ad03a4cc8eba0c47f4	2316119	NA	NA	NA
categorical	20116	both_sexes	Smoking status	This field summarises the current/past smoking status of the participant.	241765	142475	99286	233709	138017	95689	"AFR,AMR,CSA,EAS,EUR,MID"	6	3	4595	477	6777	1970	227144	802	1937	485	1855	679	191673	761	categorical-20116-both_sexes-0.tsv.bgz	categorical-20116-both_sexes-0.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20116-both_sexes-0.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20116-both_sexes-0.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20116-both_sexes-0.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20116-both_sexes-0.tsv.bgz.tbi	67618e831eab3fb5e99220c92096039e	2752156170	ee6df89e62473cadb0d86b635aa84d4d	2322087	NA	NA	NA
